"Departamento","Código Departamento","Municipio","Código Municipio","Programa","Año de asignacion","No. SFV Asignados","Valor Asignado","Tipo de suelo"
"ANTIOQUIA","5","SAN JUAN DE URABÁ","5,659","MEJORAMIENTO","2,025","13","168,665,965","RURAL"
"ANTIOQUIA","5","SAN PEDRO DE URABÁ","5,665","MEJORAMIENTO","2,025","25","324,357,625","RURAL"
"ANTIOQUIA","5","SAN RAFAEL","5,667","MEJORAMIENTO","2,024","5","40,600,000","RURAL"
"ANTIOQUIA","5","SOPETRÁN","5,761","MEJORAMIENTO","2,024","31","251,720,000","RURAL"
"ANTIOQUIA","5","SOPETRÁN","5,761","MEJORAMIENTO","2,025","38","308,560,000","RURAL"
"ANTIOQUIA","5","TURBO","5,837","MEJORAMIENTO","2,024","21","170,520,000","RURAL"
"ANTIOQUIA","5","TURBO","5,837","MEJORAMIENTO","2,025","69","560,280,000","RURAL"
"ANTIOQUIA","5","URRAO","5,847","MEJORAMIENTO","2,024","28","227,360,000","RURAL"
"ANTIOQUIA","5","URRAO","5,847","MEJORAMIENTO","2,025","8","64,960,000","RURAL"
"ARAUCA","81","ARAUCA","81,001","MEJORAMIENTO","2,024","12","343,200,000","RURAL"
"ARAUCA","81","ARAUCA","81,001","MEJORAMIENTO","2,025","64","1,523,111,090","RURAL"
"ARAUCA","81","ARAUQUITA","81,065","MEJORAMIENTO","2,024","136","3,934,416,000","RURAL"
"ARAUCA","81","FORTUL","81,300","MEJORAMIENTO","2,025","81","1,895,400,000","RURAL"
"ARAUCA","81","SARAVENA","81,736","MEJORAMIENTO","2,025","69","1,614,600,000","RURAL"
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","88","SAN ANDRÉS","88,001","MEJORAMIENTO","2,024","12","467,801,350","RURAL"
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","88","SAN ANDRÉS","88,001","MEJORAMIENTO","2,025","3","116,978,463","RURAL"
"ATLÁNTICO","8","CAMPO DE LA CRUZ","8,137","MEJORAMIENTO","2,025","5","117,000,000","RURAL"
"ATLÁNTICO","8","CANDELARIA","8,141","MEJORAMIENTO","2,025","11","257,400,000","RURAL"
"ATLÁNTICO","8","GALAPA","8,296","MEJORAMIENTO","2,025","43","1,006,200,000","RURAL"
"ATLÁNTICO","8","JUAN DE ACOSTA","8,372","MEJORAMIENTO","2,025","13","304,200,000","RURAL"
"ATLÁNTICO","8","PALMAR DE VARELA","8,520","MEJORAMIENTO","2,025","6","140,400,000","RURAL"
"ATLÁNTICO","8","PIOJÓ","8,549","MEJORAMIENTO","2,025","12","280,800,000","RURAL"
"ATLÁNTICO","8","PONEDERA","8,560","MEJORAMIENTO","2,025","11","257,400,000","RURAL"
"ATLÁNTICO","8","SABANALARGA","8,638","MEJORAMIENTO","2,025","86","2,012,400,000","RURAL"
"ATLÁNTICO","8","SANTA LUCÍA","8,675","MEJORAMIENTO","2,024","16","374,400,000","RURAL"
"ATLÁNTICO","8","SANTA LUCÍA","8,675","MEJORAMIENTO","2,025","21","491,399,683","RURAL"
"ATLÁNTICO","8","SANTO TOMÁS","8,685","MEJORAMIENTO","2,025","7","163,800,000","RURAL"
"ATLÁNTICO","8","USIACURÍ","8,849","MEJORAMIENTO","2,025","2","46,800,000","RURAL"
"BOLÍVAR","13","ARENAL","13,042","MEJORAMIENTO","2,025","215","5,102,901,521","RURAL"
"BOLÍVAR","13","CANTAGALLO","13,160","MEJORAMIENTO","2,025","40","1,111,050,000","RURAL"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13,001","MEJORAMIENTO","2,024","123","3,138,960,000","RURAL"
"BOLÍVAR","13","EL CARMEN DE BOLÍVAR","13,244","MEJORAMIENTO","2,024","13","416,674,900","RURAL"
"BOLÍVAR","13","EL CARMEN DE BOLÍVAR","13,244","MEJORAMIENTO","2,025","7","241,719,396","RURAL"
"BOLÍVAR","13","EL GUAMO","13,248","MEJORAMIENTO","2,024","2","46,800,000","RURAL"
"BOLÍVAR","13","EL GUAMO","13,248","MEJORAMIENTO","2,025","32","748,800,000","RURAL"
"BOLÍVAR","13","HATILLO DE LOBA","13,300","MEJORAMIENTO","2,025","11","257,400,000","RURAL"
"BOLÍVAR","13","MARÍA LA BAJA","13,442","MEJORAMIENTO","2,024","8","228,800,000","RURAL"
"BOLÍVAR","13","MARÍA LA BAJA","13,442","MEJORAMIENTO","2,025","77","1,872,932,011","RURAL"
"BOLÍVAR","13","MORALES","13,473","MEJORAMIENTO","2,025","22","724,042,000","RURAL"
"BOLÍVAR","13","SAN CRISTÓBAL","13,620","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"BOLÍVAR","13","SAN JACINTO","13,654","MEJORAMIENTO","2,025","21","765,305,698","RURAL"
"BOLÍVAR","13","SAN JUAN NEPOMUCENO","13,657","MEJORAMIENTO","2,025","109","2,790,216,625","RURAL"
"BOLÍVAR","13","SAN MARTÍN DE LOBA","13,667","MEJORAMIENTO","2,025","28","655,200,000","RURAL"
"BOLÍVAR","13","SAN PABLO","13,670","MEJORAMIENTO","2,025","22","723,474,000","RURAL"
"BOLÍVAR","13","SANTA CATALINA","13,673","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"BOLÍVAR","13","SANTA CRUZ DE MOMPOX","13,468","MEJORAMIENTO","2,025","21","491,400,000","RURAL"
"BOLÍVAR","13","SANTA ROSA DEL SUR","13,688","MEJORAMIENTO","2,025","2","46,800,000","RURAL"
"BOLÍVAR","13","SIMITÍ","13,744","MEJORAMIENTO","2,025","68","1,789,439,000","RURAL"
"BOLÍVAR","13","TALAIGUA NUEVO","13,780","MEJORAMIENTO","2,025","4","93,600,000","RURAL"
"BOLÍVAR","13","VILLANUEVA","13,873","MEJORAMIENTO","2,025","21","491,400,000","RURAL"
"BOLÍVAR","13","ZAMBRANO","13,894","MEJORAMIENTO","2,024","4","114,400,000","RURAL"
"BOLÍVAR","13","ZAMBRANO","13,894","MEJORAMIENTO","2,025","11","392,717,678","RURAL"
"BOYACÁ","15","BETÉITIVA","15,092","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"BOYACÁ","15","CHÍQUIZA","15,232","MEJORAMIENTO","2,025","10","234,000,000","RURAL"
"BOYACÁ","15","CÓMBITA","15,204","MEJORAMIENTO","2,025","12","280,800,000","RURAL"
"BOYACÁ","15","CUÍTIVA","15,226","MEJORAMIENTO","2,025","10","232,829,448","RURAL"
"BOYACÁ","15","DUITAMA","15,238","MEJORAMIENTO","2,025","44","1,029,597,240","RURAL"
"BOYACÁ","15","FLORESTA","15,276","MEJORAMIENTO","2,025","5","116,942,194","RURAL"
"BOYACÁ","15","GUAYATÁ","15,325","MEJORAMIENTO","2,025","5","117,000,000","RURAL"
"BOYACÁ","15","MARIPÍ","15,442","MEJORAMIENTO","2,025","10","233,974,389","RURAL"
"BOYACÁ","15","MONIQUIRÁ","15,469","MEJORAMIENTO","2,025","5","116,994,293","RURAL"
"BOYACÁ","15","NOBSA","15,491","MEJORAMIENTO","2,025","5","116,979,935","RURAL"
"BOYACÁ","15","NUEVO COLÓN","15,494","MEJORAMIENTO","2,025","5","116,990,150","RURAL"
"BOYACÁ","15","PAUNA","15,531","MEJORAMIENTO","2,025","6","140,197,597","RURAL"
"BOYACÁ","15","SANTA ROSA DE VITERBO","15,693","MEJORAMIENTO","2,025","22","514,795,562","RURAL"
"BOYACÁ","15","TENZA","15,798","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"BOYACÁ","15","TOCA","15,814","MEJORAMIENTO","2,025","59","1,380,131,802","RURAL"
"BOYACÁ","15","TÓPAGA","15,820","MEJORAMIENTO","2,025","10","234,000,000","RURAL"
"CAQUETÁ","18","EL DONCELLO","18,247","MEJORAMIENTO","2,024","12","322,180,000","RURAL"
"CAQUETÁ","18","EL DONCELLO","18,247","MEJORAMIENTO","2,025","3","70,200,000","RURAL"
"CAQUETÁ","18","EL PAUJÍL","18,256","MEJORAMIENTO","2,025","7","163,800,000","RURAL"
"CAQUETÁ","18","FLORENCIA","18,001","MEJORAMIENTO","2,024","301","8,868,594,343","RURAL"
"CAQUETÁ","18","FLORENCIA","18,001","MEJORAMIENTO","2,025","15","448,542,900","RURAL"
"CAQUETÁ","18","PUERTO RICO","18,592","MEJORAMIENTO","2,025","3","70,200,000","RURAL"
"CASANARE","85","YOPAL","85,001","MEJORAMIENTO","2,025","73","1,889,030,000","RURAL"
"CAUCA","19","ARGELIA","19,050","MEJORAMIENTO","2,025","1","31,317,000","RURAL"
"CAUCA","19","CAJIBÍO","19,130","MEJORAMIENTO","2,024","19","485,910,886","RURAL"
"CAUCA","19","CAJIBÍO","19,130","MEJORAMIENTO","2,025","37","1,078,100,000","RURAL"
"CAUCA","19","CALDONO","19,137","MEJORAMIENTO","2,024","19","496,599,761","RURAL"
"CAUCA","19","CALDONO","19,137","MEJORAMIENTO","2,025","32","774,800,000","RURAL"
"CAUCA","19","CALOTO","19,142","MEJORAMIENTO","2,025","22","722,605,000","RURAL"
"CAUCA","19","CORINTO","19,212","MEJORAMIENTO","2,025","18","617,476,000","RURAL"
"CAUCA","19","EL TAMBO","19,256","MEJORAMIENTO","2,024","20","514,799,273","RURAL"
"CAUCA","19","EL TAMBO","19,256","MEJORAMIENTO","2,025","50","1,440,963,000","RURAL"
"CAUCA","19","MORALES","19,473","MEJORAMIENTO","2,024","17","470,599,713","RURAL"
"CAUCA","19","MORALES","19,473","MEJORAMIENTO","2,025","56","1,529,574,000","RURAL"
"CAUCA","19","PATÍA","19,532","MEJORAMIENTO","2,024","78","1,672,151,706","RURAL"
"CAUCA","19","PATÍA","19,532","MEJORAMIENTO","2,025","120","3,274,404,895","RURAL"
"CAUCA","19","PIENDAMÓ - TUNÍA","19,548","MEJORAMIENTO","2,024","114","2,735,197,099","RURAL"
"CAUCA","19","PIENDAMÓ - TUNÍA","19,548","MEJORAMIENTO","2,025","85","2,020,200,000","RURAL"
"CAUCA","19","POPAYÁN","19,001","MEJORAMIENTO","2,024","23","657,800,000","RURAL"
"CAUCA","19","POPAYÁN","19,001","MEJORAMIENTO","2,025","53","1,375,400,000","RURAL"
"CAUCA","19","ROSAS","19,622","MEJORAMIENTO","2,024","13","356,199,649","RURAL"
"CAUCA","19","ROSAS","19,622","MEJORAMIENTO","2,025","5","137,800,000","RURAL"
"CAUCA","19","SILVIA","19,743","MEJORAMIENTO","2,024","20","493,997,498","RURAL"
"CAUCA","19","SILVIA","19,743","MEJORAMIENTO","2,025","11","262,600,000","RURAL"
"CAUCA","19","SUÁREZ","19,780","MEJORAMIENTO","2,024","2","36,052,800","RURAL"
"CAUCA","19","SUÁREZ","19,780","MEJORAMIENTO","2,025","54","1,730,278,538","RURAL"
"CAUCA","19","TIMBÍO","19,807","MEJORAMIENTO","2,023","5","104,396,983","RURAL"
"CAUCA","19","TIMBÍO","19,807","MEJORAMIENTO","2,024","26","686,398,909","RURAL"
"CAUCA","19","TIMBÍO","19,807","MEJORAMIENTO","2,025","25","626,600,000","RURAL"
"CESAR","20","AGUSTÍN CODAZZI","20,013","MEJORAMIENTO","2,025","192","4,492,800,000","RURAL"
"CESAR","20","ASTREA","20,032","MEJORAMIENTO","2,025","57","1,333,800,000","RURAL"
"CESAR","20","BECERRIL","20,045","MEJORAMIENTO","2,025","117","2,737,800,000","RURAL"
"CESAR","20","CHIMICHAGUA","20,175","MEJORAMIENTO","2,025","57","1,333,800,000","RURAL"
"CESAR","20","CURUMANÍ","20,228","MEJORAMIENTO","2,025","57","1,333,800,000","RURAL"
"CESAR","20","LA JAGUA DE IBIRICO","20,400","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"CESAR","20","LA PAZ","20,621","MEJORAMIENTO","2,025","57","1,333,800,000","RURAL"
"CESAR","20","MANAURE BALCÓN DEL CESAR","20,443","MEJORAMIENTO","2,025","32","748,800,000","RURAL"
"CESAR","20","SAN DIEGO","20,750","MEJORAMIENTO","2,024","15","429,000,000","RURAL"
"CESAR","20","SAN DIEGO","20,750","MEJORAMIENTO","2,025","227","5,362,897,531","RURAL"
"CESAR","20","TAMALAMEQUE","20,787","MEJORAMIENTO","2,025","60","1,404,000,000","RURAL"
"CESAR","20","VALLEDUPAR","20,001","MEJORAMIENTO","2,024","137","3,788,213,108","RURAL"
"CESAR","20","VALLEDUPAR","20,001","MEJORAMIENTO","2,025","148","3,463,200,000","RURAL"
"CHOCÓ","27","ATRATO","27,050","MEJORAMIENTO","2,025","24","718,160,835","RURAL"
"CHOCÓ","27","CÉRTEGUI","27,160","MEJORAMIENTO","2,025","11","315,517,829","RURAL"
"CHOCÓ","27","EL CARMEN DE ATRATO","27,245","MEJORAMIENTO","2,025","20","659,145,031","RURAL"
"CHOCÓ","27","QUIBDÓ","27,001","MEJORAMIENTO","2,024","18","434,949,575","RURAL"
"CHOCÓ","27","QUIBDÓ","27,001","MEJORAMIENTO","2,025","55","1,928,522,356","RURAL"
"CHOCÓ","27","RIOSUCIO","27,615","MEJORAMIENTO","2,025","29","1,036,700,000","RURAL"
"CHOCÓ","27","UNGUÍA","27,800","MEJORAMIENTO","2,025","22","893,134,000","RURAL"
"CHOCÓ","27","UNIÓN PANAMERICANA","27,810","MEJORAMIENTO","2,025","21","595,868,182","RURAL"
"CÓRDOBA","23","CANALETE","23,090","MEJORAMIENTO","2,025","152","3,556,800,000","RURAL"
"CÓRDOBA","23","CHINÚ","23,182","MEJORAMIENTO","2,025","66","2,079,459,715","RURAL"
"CÓRDOBA","23","CIÉNAGA DE ORO","23,189","MEJORAMIENTO","2,025","52","1,216,800,000","RURAL"
"CÓRDOBA","23","LORICA","23,417","MEJORAMIENTO","2,024","21","491,400,000","RURAL"
"CÓRDOBA","23","LORICA","23,417","MEJORAMIENTO","2,025","104","2,480,400,000","RURAL"
"CÓRDOBA","23","MOMIL","23,464","MEJORAMIENTO","2,025","335","8,417,579,266","RURAL"
"CÓRDOBA","23","MONTELÍBANO","23,466","MEJORAMIENTO","2,025","269","8,952,962,217","RURAL"
"CÓRDOBA","23","PUEBLO NUEVO","23,570","MEJORAMIENTO","2,025","261","6,107,400,000","RURAL"
"CÓRDOBA","23","PUERTO ESCONDIDO","23,574","MEJORAMIENTO","2,025","232","5,428,800,000","RURAL"
"CÓRDOBA","23","PUERTO LIBERTADOR","23,580","MEJORAMIENTO","2,025","599","16,587,844,420","RURAL"
"CÓRDOBA","23","SAHAGÚN","23,660","MEJORAMIENTO","2,025","112","3,482,501,878","RURAL"
"CÓRDOBA","23","SAN BERNARDO DEL VIENTO","23,675","MEJORAMIENTO","2,025","117","3,779,219,639","RURAL"
"CÓRDOBA","23","SAN CARLOS","23,678","MEJORAMIENTO","2,024","11","314,600,000","RURAL"
"CÓRDOBA","23","SAN CARLOS","23,678","MEJORAMIENTO","2,025","172","4,962,960,763","RURAL"
"CÓRDOBA","23","SAN PELAYO","23,686","MEJORAMIENTO","2,025","134","3,135,600,000","RURAL"
"CÓRDOBA","23","TIERRALTA","23,807","MEJORAMIENTO","2,025","307","7,967,409,385","RURAL"
"CÓRDOBA","23","VALENCIA","23,855","MEJORAMIENTO","2,025","296","7,211,233,826","RURAL"
"CUNDINAMARCA","25","APULO","25,599","MEJORAMIENTO","2,025","12","144,000,000","RURAL"
"CUNDINAMARCA","25","CHAGUANÍ","25,168","MEJORAMIENTO","2,025","4","48,000,000","RURAL"
"CUNDINAMARCA","25","CHIPAQUE","25,178","MEJORAMIENTO","2,025","35","418,631,326","RURAL"
"CUNDINAMARCA","25","FOSCA","25,281","MEJORAMIENTO","2,025","10","119,773,542","RURAL"
"CUNDINAMARCA","25","MEDINA","25,438","MEJORAMIENTO","2,025","50","953,400,000","RURAL"
"CUNDINAMARCA","25","NIMAIMA","25,489","MEJORAMIENTO","2,025","28","335,393,543","RURAL"
"CUNDINAMARCA","25","PULÍ","25,580","MEJORAMIENTO","2,025","8","96,000,000","RURAL"
"CUNDINAMARCA","25","QUETAME","25,594","MEJORAMIENTO","2,025","16","192,000,000","RURAL"
"CUNDINAMARCA","25","SAN CAYETANO","25,653","MEJORAMIENTO","2,025","21","252,000,000","RURAL"
"CUNDINAMARCA","25","TIBIRITA","25,807","MEJORAMIENTO","2,025","36","432,000,000","RURAL"
"CUNDINAMARCA","25","UBALÁ","25,839","MEJORAMIENTO","2,025","30","360,000,000","RURAL"
"CUNDINAMARCA","25","ÚTICA","25,851","MEJORAMIENTO","2,025","19","228,000,000","RURAL"
"GUAVIARE","95","CALAMAR","95,015","MEJORAMIENTO","2,024","3","85,800,000","RURAL"
"GUAVIARE","95","CALAMAR","95,015","MEJORAMIENTO","2,025","5","195,000,000","RURAL"
"GUAVIARE","95","EL RETORNO","95,025","MEJORAMIENTO","2,024","2","57,200,000","RURAL"
"GUAVIARE","95","EL RETORNO","95,025","MEJORAMIENTO","2,025","9","351,000,000","RURAL"
"GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","MEJORAMIENTO","2,024","2","57,200,000","RURAL"
"GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","MEJORAMIENTO","2,025","18","702,000,000","RURAL"
"HUILA","41","NEIVA","41,001","MEJORAMIENTO","2,025","18","421,185,223","RURAL"
"HUILA","41","SAN AGUSTÍN","41,668","MEJORAMIENTO","2,024","20","425,160,000","RURAL"
"HUILA","41","SAN AGUSTÍN","41,668","MEJORAMIENTO","2,025","52","1,216,800,000","RURAL"
"LA GUAJIRA","44","ALBANIA","44,035","MEJORAMIENTO","2,025","77","2,712,224,000","RURAL"
"LA GUAJIRA","44","BARRANCAS","44,078","MEJORAMIENTO","2,025","91","3,151,656,304","RURAL"
"LA GUAJIRA","44","DIBULLA","44,090","MEJORAMIENTO","2,025","91","3,476,247,000","RURAL"
"LA GUAJIRA","44","DISTRACCIÓN","44,098","MEJORAMIENTO","2,025","77","2,647,545,000","RURAL"
"LA GUAJIRA","44","EL MOLINO","44,110","MEJORAMIENTO","2,025","88","3,243,296,000","RURAL"
"LA GUAJIRA","44","FONSECA","44,279","MEJORAMIENTO","2,025","20","514,456,802","RURAL"
"LA GUAJIRA","44","HATONUEVO","44,378","MEJORAMIENTO","2,025","88","3,026,758,812","RURAL"
"LA GUAJIRA","44","LA JAGUA DEL PILAR","44,420","MEJORAMIENTO","2,025","49","1,819,806,000","RURAL"
"LA GUAJIRA","44","MAICAO","44,430","MEJORAMIENTO","2,024","125","3,066,917,058","RURAL"
"LA GUAJIRA","44","MAICAO","44,430","MEJORAMIENTO","2,025","3","70,200,000","RURAL"
"LA GUAJIRA","44","MANAURE","44,560","MEJORAMIENTO","2,025","105","3,754,170,000","RURAL"
"LA GUAJIRA","44","RIOHACHA","44,001","MEJORAMIENTO","2,025","129","3,336,918,000","RURAL"
"LA GUAJIRA","44","URIBIA","44,847","MEJORAMIENTO","2,025","62","2,317,494,000","RURAL"
"LA GUAJIRA","44","URUMITA","44,855","MEJORAMIENTO","2,025","62","2,313,954,000","RURAL"
"LA GUAJIRA","44","VILLANUEVA","44,874","MEJORAMIENTO","2,025","69","2,509,373,000","RURAL"
"MAGDALENA","47","ALGARROBO","47,030","MEJORAMIENTO","2,025","5","117,000,000","RURAL"
"MAGDALENA","47","ARACATACA","47,053","MEJORAMIENTO","2,025","155","3,627,000,000","RURAL"
"MAGDALENA","47","CONCORDIA","47,205","MEJORAMIENTO","2,025","52","1,216,800,000","RURAL"
"MAGDALENA","47","EL PIÑÓN","47,258","MEJORAMIENTO","2,025","6","140,400,000","RURAL"
"MAGDALENA","47","FUNDACIÓN","47,288","MEJORAMIENTO","2,024","5","117,000,000","RURAL"
"MAGDALENA","47","FUNDACIÓN","47,288","MEJORAMIENTO","2,025","66","1,551,600,000","RURAL"
"MAGDALENA","47","NUEVA GRANADA","47,460","MEJORAMIENTO","2,025","12","338,000,000","RURAL"
"MAGDALENA","47","PIVIJAY","47,551","MEJORAMIENTO","2,024","3","70,200,000","RURAL"
"MAGDALENA","47","PIVIJAY","47,551","MEJORAMIENTO","2,025","10","234,000,000","RURAL"
"MAGDALENA","47","PLATO","47,555","MEJORAMIENTO","2,025","5","117,000,000","RURAL"
"MAGDALENA","47","SABANAS DE SAN ÁNGEL","47,660","MEJORAMIENTO","2,025","3","84,100,000","RURAL"
"MAGDALENA","47","SAN SEBASTIÁN DE BUENAVISTA","47,692","MEJORAMIENTO","2,025","3","70,200,000","RURAL"
"MAGDALENA","47","SAN ZENÓN","47,703","MEJORAMIENTO","2,024","62","1,450,800,000","RURAL"
"MAGDALENA","47","SAN ZENÓN","47,703","MEJORAMIENTO","2,025","228","5,335,200,000","RURAL"
"MAGDALENA","47","SANTA ANA","47,707","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"MAGDALENA","47","SITIONUEVO","47,745","MEJORAMIENTO","2,025","66","1,544,400,000","RURAL"
"MAGDALENA","47","TENERIFE","47,798","MEJORAMIENTO","2,025","47","1,099,800,000","RURAL"
"NARIÑO","52","ALBÁN","52,019","MEJORAMIENTO","2,025","21","491,400,000","RURAL"
"NARIÑO","52","ALDANA","52,022","MEJORAMIENTO","2,024","24","561,600,000","RURAL"
"NARIÑO","52","ALDANA","52,022","MEJORAMIENTO","2,025","115","2,620,800,000","RURAL"
"NARIÑO","52","COLÓN","52,203","MEJORAMIENTO","2,025","112","2,620,300,446","RURAL"
"NARIÑO","52","CONTADERO","52,210","MEJORAMIENTO","2,025","4","93,600,000","RURAL"
"NARIÑO","52","CÓRDOBA","52,215","MEJORAMIENTO","2,025","12","280,800,000","RURAL"
"NARIÑO","52","CUASPUD CARLOSAMA","52,224","MEJORAMIENTO","2,025","7","163,800,000","RURAL"
"NARIÑO","52","CUMBAL","52,227","MEJORAMIENTO","2,024","70","1,638,000,000","RURAL"
"NARIÑO","52","CUMBAL","52,227","MEJORAMIENTO","2,025","172","3,884,400,000","RURAL"
"NARIÑO","52","FUNES","52,287","MEJORAMIENTO","2,025","5","117,000,000","RURAL"
"NARIÑO","52","GUACHUCAL","52,317","MEJORAMIENTO","2,024","53","1,209,000,000","RURAL"
"NARIÑO","52","GUACHUCAL","52,317","MEJORAMIENTO","2,025","103","2,324,400,000","RURAL"
"NARIÑO","52","ILES","52,352","MEJORAMIENTO","2,024","54","1,147,500,222","RURAL"
"NARIÑO","52","ILES","52,352","MEJORAMIENTO","2,025","30","700,540,767","RURAL"
"NARIÑO","52","IPIALES","52,356","MEJORAMIENTO","2,025","21","491,400,000","RURAL"
"NARIÑO","52","LA CRUZ","52,378","MEJORAMIENTO","2,025","11","257,400,000","RURAL"
"NARIÑO","52","LA UNIÓN","52,399","MEJORAMIENTO","2,025","12","280,800,000","RURAL"
